20945;7,61577;4;1,67332;9,5;2,20227;1,3;1,34536;32,2;5,36284;0,3;0,458258;7,7;2,68514;
20943,8;8,07217;3,9;1,44568;9,4;1,85472;1,9;1,37477;32,7;5,38609;0,3;0,458258;8;2,68328;
20942,5;7,9278;3,8;1,6;9,2;2,78568;1,9;1,51327;34;5,81378;0,3;0,458258;8,3;2,86531;
20941,3;7,95047;4,1;1,04403;8,2;2,03961;2,1;1,97231;35,3;5,9;0,3;0,458258;8,7;3,34813;
20939,9;8,16639;4,1;1,51327;8,2;2,85657;1,1;1,37477;37,2;6,35295;0,3;0,458258;9,2;3,24962;
20937,8;8,81816;4,8;2,31517;7,8;2,22711;1,3;1,26886;38,5;6,51537;0,3;0,458258;9,5;3,3541;
20935,6;8,90169;5,5;1,62788;8,1;1,92094;1,6;1,49666;39,2;6,41561;0,4;0,663325;9,6;3,44093;
20934,2;9,33595;4,7;1,18743;9;1,89737;1,8;1,77764;40;6,26099;0,5;0,67082;9,8;3,42929;
20931,2;9,21737;6,2;2,18174;9,5;1,9105;1,6;1,35647;40,5;6,45368;0,6;0,8;10,4;3,58329;
20929,9;10,104;5,7;2,32594;9,8;1,98997;1,7;1,9;41,2;6,82349;0,7;1,00499;11;3,43511;
20928,6;10,0419;4,9;2,50799;10;2,48998;1,7;1,55242;42,6;6,95989;0,9;1,22066;11,3;3,55106;
20927;10,7051;5,2;2,31517;9,8;2,13542;1,4;1,42829;43,9;7,04911;0,9;1,22066;11,8;3,54401;
20925,6;10,9471;4,6;1,62481;9,7;2,6096;1,7;2,0025;45,5;7,14493;0,9;1,22066;12;3,74166;
20923,9;10,8945;5,2;1,8868;9,1;3,41906;1,5;1,28452;46,9;7,31369;1;1,18322;12,4;4,31741;
20921,6;11,1553;5,5;2,57876;9,8;2,6;1,7;1,26886;47,9;7,71298;1;1,18322;12,5;4,41022;
20919,7;11,7137;5,8;3,02655;9,8;3,15595;1,8;1,249;49,1;7,7;1;1,18322;12,8;4,53431;
20916,9;12,755;5,9;3,01496;10,5;2,97489;1,8;1,16619;50,5;8,05295;1;1,18322;13,4;4,98397;
20915,5;13,5;5,5;3,26343;10,3;2,86531;2,2;1,07703;51,7;8,03803;1,1;1,13578;13,7;4,98096;
